"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon Aug 03 10:49:58 ICT 2020","Mon Aug 03 10:51:08 ICT 2020","69476","Default suite","Default test","testcases.Test_Phone_Code","testcases.Test_Phone_Code","login_list_phone_code","login_list_phone_code","Login Test - Login Validate List Phone Code"
"passed","Sat Aug 08 00:54:59 ICT 2020","Sat Aug 08 00:55:17 ICT 2020","18380","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","chat_test_after_login","chat_test_after_login","Chat Test - Test Chatting After Login"
"broken","Sat Aug 08 00:53:28 ICT 2020","Sat Aug 08 00:53:55 ICT 2020","27951","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","chat_test_before_login","chat_test_before_login","Chat Test - Test Chatting Before Login"
"skipped","Sat Aug 08 01:17:16 ICT 2020","Sat Aug 08 01:17:16 ICT 2020","1","Default suite","Default test","testcases.Test_Edit_Profile","testcases.Test_Edit_Profile","edit_profile_form_field_alert","edit_profile_form_field_alert","Edit Profile Test - Alert Edit Profile Form Field"
"broken","Sat Aug 08 00:55:19 ICT 2020","Sat Aug 08 00:55:36 ICT 2020","16593","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","chat_test_after_login","chat_test_after_login","Chat Test - Test Chatting After Login"
"failed","Sat Aug 08 00:56:35 ICT 2020","Sat Aug 08 00:56:58 ICT 2020","23437","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","chat_test_live_event_after_login","chat_test_live_event_after_login","Chat Test Live Event - Test Chatting After Login"
"broken","Sat Aug 08 00:58:32 ICT 2020","Sat Aug 08 00:59:18 ICT 2020","46104","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","test_chat_live_event__before_login","test_chat_live_event__before_login","Chat Test Live Event - Test Chatting Before Login"
"skipped","Sat Aug 08 01:17:16 ICT 2020","Sat Aug 08 01:17:16 ICT 2020","0","Default suite","Default test","testcases.Test_Edit_Profile","testcases.Test_Edit_Profile","edit_profile_phone_alert","edit_profile_phone_alert","Edit Profile Test - Alert Edit Profile Phone Alert"
"broken","Mon Aug 03 10:52:52 ICT 2020","Mon Aug 03 10:54:15 ICT 2020","82687","Default suite","Default test","testcases.Test_Phone_Code","testcases.Test_Phone_Code","register_list_phone_code_default","register_list_phone_code_default","Login Test - Register Validate List Phone Code"
"broken","Sat Aug 08 00:57:44 ICT 2020","Sat Aug 08 00:58:30 ICT 2020","45857","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","test_chat_live_event__before_login","test_chat_live_event__before_login","Chat Test Live Event - Test Chatting Before Login"
"skipped","Sat Aug 08 01:17:16 ICT 2020","Sat Aug 08 01:17:16 ICT 2020","0","Default suite","Default test","testcases.Test_Edit_Profile","testcases.Test_Edit_Profile","edit_profile_form_field_alert","edit_profile_form_field_alert","Edit Profile Test - Alert Edit Profile Form Field"
"broken","Sat Aug 08 00:47:17 ICT 2020","Sat Aug 08 00:47:49 ICT 2020","32588","Default suite","Default test","testcases.Test_Continue_Watching","testcases.Test_Continue_Watching","continue_watching_from_exclusive_home","continue_watching_from_exclusive_home","Continue Watching Test - From Exlcuisve"
"passed","Sat Aug 08 00:40:50 ICT 2020","Sat Aug 08 00:41:23 ICT 2020","32962","Default suite","Default test","testcases.Test_Continue_Watching","testcases.Test_Continue_Watching","continue_watching_from_exclusive_cleared","continue_watching_from_exclusive_cleared","Continue Watching Test - From Exlcuisve"
"broken","Sat Aug 08 00:54:28 ICT 2020","Sat Aug 08 00:54:57 ICT 2020","28953","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","chat_test_before_login","chat_test_before_login","Chat Test - Test Chatting Before Login"
"broken","Sat Aug 08 00:59:22 ICT 2020","Sat Aug 08 01:00:09 ICT 2020","47032","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","test_chat_live_event__before_login","test_chat_live_event__before_login","Chat Test Live Event - Test Chatting Before Login"
"broken","Sat Aug 08 00:53:57 ICT 2020","Sat Aug 08 00:54:26 ICT 2020","28770","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","chat_test_before_login","chat_test_before_login","Chat Test - Test Chatting Before Login"
"broken","Mon Aug 03 10:51:24 ICT 2020","Mon Aug 03 10:52:38 ICT 2020","73691","Default suite","Default test","testcases.Test_Phone_Code","testcases.Test_Phone_Code","login_list_phone_code_default","login_list_phone_code_default","Login Test - Login Validate List Phone Code"
"failed","Sat Aug 08 00:57:22 ICT 2020","Sat Aug 08 00:57:42 ICT 2020","19616","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","chat_test_live_event_after_login","chat_test_live_event_after_login","Chat Test Live Event - Test Chatting After Login"
"passed","Sat Aug 08 00:55:38 ICT 2020","Sat Aug 08 00:56:02 ICT 2020","24197","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","chat_test_after_login","chat_test_after_login","Chat Test - Test Chatting After Login"
"broken","Sat Aug 08 00:56:23 ICT 2020","Sat Aug 08 00:56:33 ICT 2020","9653","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","chat_test_live_event_after_login","chat_test_live_event_after_login","Chat Test Live Event - Test Chatting After Login"
"broken","Sat Aug 08 01:15:11 ICT 2020","Sat Aug 08 01:16:16 ICT 2020","65183","Default suite","Default test","testcases.Test_Edit_Profile","testcases.Test_Edit_Profile","edit_profile_form_field_alert","edit_profile_form_field_alert","Edit Profile Test - Alert Edit Profile Form Field"
"failed","Sat Aug 08 00:57:00 ICT 2020","Sat Aug 08 00:57:20 ICT 2020","19827","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","chat_test_live_event_after_login","chat_test_live_event_after_login","Chat Test Live Event - Test Chatting After Login"
"broken","Sat Aug 08 01:00:13 ICT 2020","Sat Aug 08 01:00:59 ICT 2020","46038","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","test_chat_live_event__before_login","test_chat_live_event__before_login","Chat Test Live Event - Test Chatting Before Login"
"broken","Fri Aug 07 16:45:26 ICT 2020","Fri Aug 07 16:46:05 ICT 2020","39312","Default suite","Default test","testcases.Test_Continue_Watching","testcases.Test_Continue_Watching","continue_watching_from_exclusive_delete","continue_watching_from_exclusive_delete","Continue Watching Test - From Exlcuisve"
"broken","Sat Aug 08 00:52:57 ICT 2020","Sat Aug 08 00:53:26 ICT 2020","28706","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","chat_test_before_login","chat_test_before_login","Chat Test - Test Chatting Before Login"
"passed","Sat Aug 08 00:56:04 ICT 2020","Sat Aug 08 00:56:22 ICT 2020","17821","Default suite","Default test","testcases.Test_Chat","testcases.Test_Chat","chat_test_after_login","chat_test_after_login","Chat Test - Test Chatting After Login"
"passed","Sat Aug 08 01:14:46 ICT 2020","Sat Aug 08 01:15:09 ICT 2020","22375","Default suite","Default test","testcases.Test_Edit_Profile","testcases.Test_Edit_Profile","edit_profile_success_edit_fullname","edit_profile_success_edit_fullname","Edit Profile Test - Success Edit Profile"
"passed","Sat Aug 08 00:39:47 ICT 2020","Sat Aug 08 00:40:46 ICT 2020","58732","Default suite","Default test","testcases.Test_Continue_Watching","testcases.Test_Continue_Watching","continue_watching_from_exclusive","continue_watching_from_exclusive","Continue Watching Test - From Exlcuisve"
